RRUFFID,normalized_formula_df_rruff,normalized_formula_df_cod,composition_df,cod_id
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",1011337
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",9000253
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",9011414
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",4329107
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",4329108
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",4329109
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",1509708
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",1509709
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",1509710
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",7221650
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",1544685
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1010925
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9000521
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9004101
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9015676
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544636
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544637
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544680
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544681
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1010925
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9000521
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9004101
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9015676
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544636
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544637
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544680
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544681
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1010925
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9000521
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9004101
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9015676
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544636
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544637
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544680
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544681
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1010925
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9000521
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9004101
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9015676
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544636
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544637
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544680
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544681
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9000327
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9000328
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9000329
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9000330
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9003408
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9005438
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9005439
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9010094
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9010095
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9010326
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013272
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013273
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013274
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013275
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013276
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013277
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013278
R040054,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013279
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9000327
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9000328
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9000329
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9000330
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9003408
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9005438
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9005439
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9010094
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9010095
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9010326
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013272
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013273
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013274
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013275
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013276
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013277
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013278
R050074,NaFeSi2O6,FeNaO6Si2,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}",9013279
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",1010215
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006448
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006449
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006450
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006451
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006452
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006453
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006454
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006935
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006936
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006937
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006938
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006939
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006940
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006941
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9013636
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9013637
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9013638
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",2106179
R061085,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",4124694
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",1010215
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006448
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006449
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006450
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006451
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006452
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006453
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006454
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006935
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006936
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006937
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006938
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006939
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006940
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9006941
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9013636
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9013637
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",9013638
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",2106179
R061100,Ca2MgSi2O7,Ca2MgO7Si2,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}",4124694
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",1011351
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",1011382
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005930
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005931
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005932
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005933
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005934
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005935
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005936
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005937
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005938
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005939
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005940
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005941
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005942
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005943
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005944
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9005945
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9008675
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9008854
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",9008871
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",1538620
R070174,MnS,MnS,"{'Mn': 1.0, 'S': 1.0}",1538836
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000525
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000526
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000527
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000528
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000529
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000530
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000531
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000584
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000585
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000586
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000702
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000703
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000704
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000705
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000706
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000707
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000708
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000993
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001257
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001630
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001631
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001632
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001633
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001634
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001635
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002196
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002197
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002198
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002199
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002200
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002201
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002202
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002203
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9003700
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9003701
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9003702
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",1521704
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",2310574
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",2107372
R040068,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",1544370
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000525
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000526
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000527
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000528
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000529
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000530
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000531
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000584
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000585
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000586
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000702
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000703
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000704
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000705
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000706
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000707
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000708
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9000993
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001257
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001630
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001631
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001632
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001633
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001634
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9001635
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002196
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002197
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002198
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002199
R040129,NaAlSi3O8,AlNaO8Si3,"{'Na': 1.0, 'Al': 1.0, 'Si': 3.0, 'O': 8.0}",9002200
